69,Autaugaville,US,AL,town,municipality,"Autaugaville, AL",#N/A
70,Billingsley,US,AL,town,municipality,"Billingsley, AL",#N/A
71,Prattville,US,AL,city,municipality,"Prattville, AL",PRATTVILLE-AL.GOV
72,Bay Minette,US,AL,city,municipality,"Bay Minette, AL",cityofbayminette.org/
73,Daphne,US,AL,city,municipality,"Daphne, AL",daphneal.com/
74,Elberta,US,AL,town,municipality,"Elberta, AL",https://townofelberta.com/
75,Fairhope,US,AL,city,municipality,"Fairhope, AL",cofairhope.com/
76,Foley,US,AL,city,municipality,"Foley, AL",cityoffoley.org/
77,Robertsdale,US,AL,city,municipality,"Robertsdale, AL",robertsdale.org/
78,Silverhill,US,AL,town,municipality,"Silverhill, AL",#N/A
79,Summerdale,US,AL,town,municipality,"Summerdale, AL",#N/A
80,Magnolia Springs,US,AL,town,municipality,"Magnolia Springs, AL",#N/A
81,Perdido Beach,US,AL,town,municipality,"Perdido Beach, AL",#N/A
82,Spanish Fort,US,AL,city,municipality,"Spanish Fort, AL",#N/A
83,Orange Beach,US,AL,city,municipality,"Orange Beach, AL",cityoforangebeach.com/
84,Gulf Shores,US,AL,city,municipality,"Gulf Shores, AL",GULFSHORESAL.GOV
85,Loxley,US,AL,town,municipality,"Loxley, AL",#N/A
86,Blue Springs,US,AL,town,municipality,"Blue Springs, AL",#N/A
87,Clayton,US,AL,town,municipality,"Clayton, AL",#N/A
88,Clio,US,AL,city,municipality,"Clio, AL",#N/A
89,Eufaula,US,AL,city,municipality,"Eufaula, AL",eufaulaalabama.com/
90,Louisville,US,AL,town,municipality,"Louisville, AL",#N/A
91,Bakerhill,US,AL,town,municipality,"Bakerhill, AL",#N/A
92,Brent,US,AL,city,municipality,"Brent, AL",#N/A
93,Centreville,US,AL,city,municipality,"Centreville, AL",#N/A
94,West Blocton,US,AL,town,municipality,"West Blocton, AL",#N/A
95,Woodstock,US,AL,town,municipality,"Woodstock, AL",#N/A
96,Blountsville,US,AL,town,municipality,"Blountsville, AL",#N/A
97,Hayden,US,AL,town,municipality,"Hayden, AL",#N/A
98,Oneonta,US,AL,city,municipality,"Oneonta, AL",cityofoneonta.us/
99,Allgood,US,AL,town,municipality,"Allgood, AL",#N/A
100,Susan Moore,US,AL,town,municipality,"Susan Moore, AL",#N/A
101,Cleveland,US,AL,town,municipality,"Cleveland, AL",#N/A
102,Highland Lake,US,AL,town,municipality,"Highland Lake, AL",#N/A
103,Snead,US,AL,town,municipality,"Snead, AL",#N/A
104,Rosa,US,AL,town,municipality,"Rosa, AL",#N/A
105,Locust Fork,US,AL,town,municipality,"Locust Fork, AL",#N/A
106,Nectar,US,AL,town,municipality,"Nectar, AL",#N/A
107,Midway,US,AL,town,municipality,"Midway, AL",#N/A
108,Union Springs,US,AL,city,municipality,"Union Springs, AL",UNIONSPRINGSAL.GOV
109,Georgiana,US,AL,city,municipality,"Georgiana, AL",#N/A
110,Greenville,US,AL,city,municipality,"Greenville, AL",#N/A
111,Mckenzie,US,AL,town,municipality,"Mckenzie, AL",#N/A
112,Anniston,US,AL,city,municipality,"Anniston, AL",ANNISTONAL.GOV
113,Hobson City,US,AL,town,municipality,"Hobson City, AL",#N/A
114,Jacksonville,US,AL,city,municipality,"Jacksonville, AL",jacksonville-al.org/
115,Ohatchee,US,AL,town,municipality,"Ohatchee, AL",#N/A
116,Oxford,US,AL,city,municipality,"Oxford, AL",oxfordalabama.org/
117,Piedmont,US,AL,city,municipality,"Piedmont, AL",piedmontcity.org
118,Weaver,US,AL,city,municipality,"Weaver, AL",#N/A
119,Five Points,US,AL,town,municipality,"Five Points, AL",#N/A
120,Lafayette,US,AL,city,municipality,"Lafayette, AL",#N/A
121,Lanett,US,AL,city,municipality,"Lanett, AL",cityoflanett.com
122,Waverly,US,AL,town,municipality,"Waverly, AL",#N/A
123,Cusseta,US,AL,town,municipality,"Cusseta, AL",#N/A
124,Valley,US,AL,city,municipality,"Valley, AL",cityofvalley.com/
125,Cedar Bluff,US,AL,town,municipality,"Cedar Bluff, AL",cedarbluff-al.org
126,Centre,US,AL,city,municipality,"Centre, AL",#N/A
127,Gaylesville,US,AL,town,municipality,"Gaylesville, AL",#N/A
128,Sand Rock,US,AL,town,municipality,"Sand Rock, AL",#N/A
129,Leesburg,US,AL,town,municipality,"Leesburg, AL",#N/A
130,Clanton,US,AL,city,municipality,"Clanton, AL",#N/A
131,Jemison,US,AL,city,municipality,"Jemison, AL",#N/A
132,Maplesville,US,AL,town,municipality,"Maplesville, AL",#N/A
133,Thorsby,US,AL,town,municipality,"Thorsby, AL",townofthorsby.com/
134,Butler,US,AL,town,municipality,"Butler, AL",#N/A
135,Gilbertown,US,AL,town,municipality,"Gilbertown, AL",#N/A
136,Silas,US,AL,town,municipality,"Silas, AL",#N/A
137,Toxey,US,AL,town,municipality,"Toxey, AL",#N/A
138,Lisman,US,AL,town,municipality,"Lisman, AL",#N/A
139,Needham,US,AL,town,municipality,"Needham, AL",#N/A
140,Pennington,US,AL,town,municipality,"Pennington, AL",#N/A
141,Coffeeville,US,AL,town,municipality,"Coffeeville, AL",#N/A
142,Fulton,US,AL,town,municipality,"Fulton, AL",#N/A
143,Grove Hill,US,AL,town,municipality,"Grove Hill, AL",grovehillal.com
144,Jackson,US,AL,city,municipality,"Jackson, AL",#N/A
145,Thomasville,US,AL,city,municipality,"Thomasville, AL",#N/A
146,Ashland,US,AL,city,municipality,"Ashland, AL",cityofashland.net
147,Lineville,US,AL,city,municipality,"Lineville, AL",#N/A
148,Edwardsville,US,AL,town,municipality,"Edwardsville, AL",#N/A
149,Fruithurst,US,AL,town,municipality,"Fruithurst, AL",#N/A
150,Heflin,US,AL,city,municipality,"Heflin, AL",#N/A
151,Ranburne,US,AL,town,municipality,"Ranburne, AL",#N/A
152,Elba,US,AL,city,municipality,"Elba, AL",elbaalabama.net/
153,Enterprise,US,AL,city,municipality,"Enterprise, AL",cityofenterprise.net/
154,Kinston,US,AL,town,municipality,"Kinston, AL",#N/A
155,New Brockton,US,AL,town,municipality,"New Brockton, AL",#N/A
156,Cherokee,US,AL,town,municipality,"Cherokee, AL",welcometocherokeeal.org/
157,Leighton,US,AL,town,municipality,"Leighton, AL",#N/A
158,Littleville,US,AL,town,municipality,"Littleville, AL",#N/A
159,Muscle Shoals,US,AL,city,municipality,"Muscle Shoals, AL",cityofmuscleshoals.com/
160,Sheffield,US,AL,city,municipality,"Sheffield, AL",sheffieldalabama.org/
161,Tuscumbia,US,AL,city,municipality,"Tuscumbia, AL",#N/A
162,Castleberry,US,AL,town,municipality,"Castleberry, AL",#N/A
163,Evergreen,US,AL,city,municipality,"Evergreen, AL",#N/A
164,Repton,US,AL,town,municipality,"Repton, AL",#N/A
165,Goodwater,US,AL,town,municipality,"Goodwater, AL",#N/A
166,Rockford,US,AL,town,municipality,"Rockford, AL",#N/A
167,Kellyton,US,AL,town,municipality,"Kellyton, AL",#N/A
168,Andalusia,US,AL,city,municipality,"Andalusia, AL",cityofandalusia.com/
169,Florala,US,AL,town,municipality,"Florala, AL",#N/A
170,Heath,US,AL,town,municipality,"Heath, AL",#N/A
171,Lockhart,US,AL,town,municipality,"Lockhart, AL",#N/A
